chr	start	end	length	abs_summit	pileup	-log10(pvalue)	fold_enrichment	-log10(qvalue)	name	closest feature	distance	within bflag	go=peroxisome organization
chr11_KI270927v1_alt	25903	26189	287	26132	18	4.99891	2.81256	2.15927	HEK293Ts4peaks_peak_1129				
chr11_KI270927v1_alt	31097	31615	519	31314	23	10.9417	4.77219	7.75348	HEK293Ts4peaks_peak_1130				
chr12	11159	11523	365	11312	58	14.4997	3.23	11.2259	HEK293Ts4peaks_peak_1131	DDX11L8	0.969	1.0	
chr12	31084	31383	300	31192	43	4.45881	1.88178	1.70646	HEK293Ts4peaks_peak_1132	WASH8P	0.7815	1.0	
chr12	53991	55098	1108	54483	196	196.968	22.7119	192.951	HEK293Ts4peaks_peak_1133	IQSEC3	12.2225		
chr12	169493	170039	547	169755	50	40.6568	11.6448	37.0998	HEK293Ts4peaks_peak_1134	IQSEC3	0.711	1.0	
chr12	1212145	1212759	615	1212416	32	20.9084	7.53486	17.5322	HEK293Ts4peaks_peak_1135	ERC1	8.486		
chr12	2409424	2412639	3216	2411391	290	408.988	54.628	404.74	HEK293Ts4peaks_peak_1136	CACNA1C	37.9445		
chr12	2683118	2685059	1942	2684053	517	804.518	80.5527	799.969	HEK293Ts4peaks_peak_1137	CACNA1C	2.1075		
chr12	2738440	2738778	339	2738621	19	6.83407	3.49049	3.8321	HEK293Ts4peaks_peak_1138	LINC02371	1.423		
chr12	2739928	2741510	1583	2740403	265	362.839	49.6086	358.634	HEK293Ts4peaks_peak_1139	LINC02371	0.644	1.0	
chr12	2761992	2762302	311	2762164	30	14.085	5.06874	10.8202	HEK293Ts4peaks_peak_1140	IQSEC3P1	9.015		
chr12	3316384	3317727	1344	3316989	161	168.441	23.9808	164.468	HEK293Ts4peaks_peak_1141	LINC02827	1.6625		
chr12	3408133	3408473	341	3408319	32	17.6642	6.15445	14.3342	HEK293Ts4peaks_peak_1142	PRMT8	26.954		
chr12	3730974	3731545	572	3731189	85	79.9108	17.041	76.1446	HEK293Ts4peaks_peak_1143	RNU6-174P	4.9325		
chr12	4031022	4031360	339	4031163	19	7.09031	3.60057	4.06708	HEK293Ts4peaks_peak_1144	ENSG00000256969	5.206		
chr12	4270240	4270647	408	4270458	32	17.1255	5.94094	13.8035	HEK293Ts4peaks_peak_1145	CCND2	0.6725	1.0	
chr12	5081956	5084038	2083	5083220	652	1142.8	122.584	1138.06	HEK293Ts4peaks_peak_1146	ENSG00000285523	5.005		
chr12	5468722	5468998	277	5468769	15	5.92193	3.49829	2.98827	HEK293Ts4peaks_peak_1147	NTF3	25.272		
chr12	5583994	5584334	341	5584076	15	4.71991	2.92161	1.93174	HEK293Ts4peaks_peak_1148	ENSG00000255973	0.367	1.0	
chr12	5611041	5611379	339	5611121	16	6.37812	3.60642	3.40378	HEK293Ts4peaks_peak_1149	ANO2	4.085		
chr12	6470015	6470602	588	6470216	55	32.4509	7.57278	28.9587	HEK293Ts4peaks_peak_1150	VAMP1	0.3055	1.0	
chr12	6470930	6471239	310	6471076	21	6.70545	3.25665	3.71012	HEK293Ts4peaks_peak_1151	VAMP1	0.4075	1.0	
chr12	6507109	6507411	303	6507229	20	9.99798	4.79491	6.83974	HEK293Ts4peaks_peak_1152	SCARNA10	2.962		
chr12	6605874	6606444	571	6606161	87	68.6282	12.6507	64.9091	HEK293Ts4peaks_peak_1153	CHD4	0.161	1.0	
chr12	6662365	6663617	1253	6663044	2031	4299.29	300.796	4293.51	HEK293Ts4peaks_peak_1154	ING4	0.092	1.0	
chr12	6770181	6770856	676	6770487	88	73.0309	13.8025	69.2925	HEK293Ts4peaks_peak_1155	PTMS	1.4655		
chr12	6837560	6841888	4329	6839894	1968	4325.74	350.06	4319.95	HEK293Ts4peaks_peak_1156	GNB3	0.23	1.0	
chr12	7057534	7059817	2284	7059125	472	812.833	108.0	808.278	HEK293Ts4peaks_peak_1157	C1S	1.8395		
chr12	7060219	7060497	279	7060353	16	6.93887	3.88159	3.92167	HEK293Ts4peaks_peak_1158	C1S	0.157	1.0	
chr12	7188392	7188823	432	7188610	32	15.6956	5.39575	12.3991	HEK293Ts4peaks_peak_1159	PEX5	0.0775	1.0	
chr12	7762094	7762512	419	7762492	13	4.72561	3.10863	1.93555	HEK293Ts4peaks_peak_1160	NANOGNB	2.913		
chr12	8009781	8010538	758	8010111	123	135.949	25.4543	132.033	HEK293Ts4peaks_peak_1161	HSPD1P12	4.8645		
chr12	8111071	8111498	428	8111322	34	22.9288	7.99152	19.528	HEK293Ts4peaks_peak_1162	CLEC4A	12.3325		
chr12	8625495	8625825	331	8625585	27	6.25448	2.72254	3.28784	HEK293Ts4peaks_peak_1163	ENSG00000280345	6.599		
chr12	8914481	8914794	314	8914637	18	7.56434	3.9281	4.51672	HEK293Ts4peaks_peak_1164	PHC1	0.0585	1.0	
chr12	10212720	10213217	498	10212933	47	30.7114	8.37717	27.2337	HEK293Ts4peaks_peak_1165	GABARAPL1	0.0405	1.0	
chr12	11353072	11353721	650	11353217	27	16.09	6.39321	12.7851	HEK293Ts4peaks_peak_1166	PRB1	2.1895		
chr12	11392753	11393353	601	11392931	47	37.1449	10.9598	33.614	HEK293Ts4peaks_peak_1167	PRB2	2.512		
chr12	11500379	11501179	801	11500710	47	34.6936	9.92362	31.1831	HEK293Ts4peaks_peak_1168	PRB2	0.262	1.0	
chr12	11505889	11506757	869	11506318	215	295.9	47.9617	291.762	HEK293Ts4peaks_peak_1169	ENSG00000277705	1.085		
chr12	12458741	12459848	1108	12459464	210	252.977	34.5001	248.887	HEK293Ts4peaks_peak_1170	ENSG00000271370	6.8135		
chr12	12562699	12563113	415	12562930	25	11.5473	4.74762	8.34361	HEK293Ts4peaks_peak_1171	DUSP16	0.043	1.0	
chr12	12725034	12726064	1031	12725079	20	6.97871	3.45382	3.95943	HEK293Ts4peaks_peak_1172	APOLD1	0.368	1.0	
chr12	12841442	12841881	440	12841668	28	11.3121	4.29285	8.11478	HEK293Ts4peaks_peak_1173	ENSG00000242329	0.5825	1.0	
chr12	13001218	13001914	697	13001573	122	120.09	20.1114	116.207	HEK293Ts4peaks_peak_1174	HTR7P1	0.067	1.0	
chr12	14365264	14366013	750	14365522	58	48.3357	12.6101	44.7268	HEK293Ts4peaks_peak_1175	ATF7IP	0.0375	1.0	
chr12	14578457	14579814	1358	14579186	174	225.023	39.1625	220.967	HEK293Ts4peaks_peak_1176	PLBD1	11.2525		
chr12	16104186	16104690	505	16104462	22	11.3422	5.10703	8.14383	HEK293Ts4peaks_peak_1177	DERA	119.266		
chr12	17599785	17600587	803	17600184	134	160.489	30.8244	156.528	HEK293Ts4peaks_peak_1178	ENSG00000256389	10.062		
chr12	18649735	18650127	393	18649923	31	19.9173	7.30653	16.5548	HEK293Ts4peaks_peak_1179	PSMC1P9	42.831		
chr12	19302419	19302822	404	19302686	27	16.0857	6.39128	12.7834	HEK293Ts4peaks_peak_1180	RN7SL67P	0.8595	1.0	
chr12	22876740	22877476	737	22877201	64	54.5977	13.4382	50.9504	HEK293Ts4peaks_peak_1181	LINC02955	16.039		
chr12	24925919	24926288	370	24926114	14	5.54986	3.42494	2.64481	HEK293Ts4peaks_peak_1182	BCAT1	22.9395		
chr12	25249839	25250512	674	25250026	25	13.9098	5.77316	10.6489	HEK293Ts4peaks_peak_1183	KRAS	0.2685	1.0	
chr12	27971176	27971608	433	27971462	14	4.90636	3.10113	2.07818	HEK293Ts4peaks_peak_1184	PTHLH	0.578	1.0	
chr12	27975920	27976304	385	27976030	16	6.93887	3.88159	3.92167	HEK293Ts4peaks_peak_1185	PTHLH	3.379		
chr12	29831020	29831298	279	29831239	14	4.15758	2.73901	1.47781	HEK293Ts4peaks_peak_1186	TMTC1	46.4		
chr12	30686237	30686645	409	30686438	28	15.6182	5.99552	12.3231	HEK293Ts4peaks_peak_1187	IPO8	2.305		
chr12	30754532	30755219	688	30754705	22	9.29637	4.19981	6.1637	HEK293Ts4peaks_peak_1188	CAPRIN2	0.0005	1.0	
chr12	30832256	30834354	2099	30833343	463	705.401	74.176	700.917	HEK293Ts4peaks_peak_1189	CAPRIN2	10.003		
chr12	30851179	30851766	588	30851380	63	42.9179	9.47388	39.3458	HEK293Ts4peaks_peak_1190	PPIAP44	10.4485		
chr12	31324923	31325233	311	31325111	33	12.6686	4.24618	9.43377	HEK293Ts4peaks_peak_1191	SINHCAF	0.416	1.0	
chr12	31418204	31418495	292	31418352	23	12.5049	5.4799	9.2742	HEK293Ts4peaks_peak_1192	DENND5B	8.4015		
chr12	31503200	31503534	335	31503321	22	11.6508	5.25157	8.44171	HEK293Ts4peaks_peak_1193	Y_RNA	3.037		
chr12	31668492	31668803	312	31668610	31	12.3179	4.3273	9.09387	HEK293Ts4peaks_peak_1194	ETFBKMT	6.7105		
chr12	31738734	31739157	424	31738983	27	7.90473	3.22808	4.83514	HEK293Ts4peaks_peak_1195	ENSG00000256843	9.2945		
chr12	32168601	32168901	301	32168747	15	6.23159	3.65326	3.26666	HEK293Ts4peaks_peak_1196	ENSG00000258134	59.403		
chr12	33215697	33215979	283	33215949	14	5.54986	3.42494	2.64481	HEK293Ts4peaks_peak_1197	ENSG00000259937	190.058		
chr12	34292607	34293084	478	34292696	24	7.83873	3.42985	4.7731	HEK293Ts4peaks_peak_1198	AK6P1	43.3645		
chr12	34333387	34333782	396	34333600	17	5.59113	3.14144	2.68349	HEK293Ts4peaks_peak_1199	AK6P1	84.1035		
chr12	35030746	35031027	282	35030830	77	14.04	2.67696	10.7764	HEK293Ts4peaks_peak_1200	AK6P1	781.4055		
chr12	35042170	35042637	468	35042318	33	5.74271	2.35632	2.82296	HEK293Ts4peaks_peak_1201	AK6P1	792.9225		
chr12	35071585	35071898	314	35071603	26	5.51249	2.54901	2.62525	HEK293Ts4peaks_peak_1202	AK6P1	822.2605		
chr12	35093585	35094067	483	35093637	22	4.61288	2.44456	1.84054	HEK293Ts4peaks_peak_1203	AK6P1	844.345		
chr12	35145962	35146292	331	35146122	23	7.9382	3.55271	4.86686	HEK293Ts4peaks_peak_1204	AK6P1	896.646		
chr12	35146823	35147270	448	35147016	18	6.55306	3.46941	3.56678	HEK293Ts4peaks_peak_1205	AK6P1	897.5655		
chr12	35154641	35155061	421	35154751	23	7.9382	3.55271	4.86686	HEK293Ts4peaks_peak_1206	AK6P1	905.37		
chr12	35323950	35324241	292	35324083	71	12.3602	2.58448	9.13484	HEK293Ts4peaks_peak_1207	AK6P1	1074.6145		
chr12	35378671	35379112	442	35378957	21	5.96071	2.97502	3.02405	HEK293Ts4peaks_peak_1208	AK6P1	1129.4105		
chr12	35459531	35459919	389	35459780	26	7.33721	3.11279	4.29925	HEK293Ts4peaks_peak_1209	AK6P1	1210.244		
chr12	35490801	35491076	276	35490802	19	4.20304	2.44428	1.51547	HEK293Ts4peaks_peak_1210	AK6P1	1241.4575		
chr12	35699603	35700004	402	35699673	41	8.86101	2.78722	5.74885	HEK293Ts4peaks_peak_1211	AK6P1	1450.3225		
chr12	35922100	35922378	279	35922230	24	9.36082	3.99655	6.2262	HEK293Ts4peaks_peak_1212	ZNF970P	1653.348		
chr12	36629094	36629424	331	36629237	24	13.3765	5.70823	10.1249	HEK293Ts4peaks_peak_1213	ZNF970P	946.328		
chr12	36843480	36843789	310	36843637	34	12.2681	4.0351	9.04522	HEK293Ts4peaks_peak_1214	ZNF970P	731.9525		
chr12	36859597	36859901	305	36859873	20	6.08686	3.09692	3.14208	HEK293Ts4peaks_peak_1215	ZNF970P	715.838		
chr12	36934109	36934431	323	36934321	17	5.91891	3.28681	2.98578	HEK293Ts4peaks_peak_1216	ZNF970P	641.317		
chr12	37021421	37021752	332	37021587	17	7.12908	3.84716	4.10304	HEK293Ts4peaks_peak_1217	ZNF970P	554.0005		
chr12	37237369	37237968	600	37237729	136	11.349	1.88646	8.1503	HEK293Ts4peaks_peak_1218	ZNF970P	337.9185		
chr12	37246096	37246600	505	37246317	63	6.11319	1.90397	3.16702	HEK293Ts4peaks_peak_1219	ZNF970P	329.239		
chr12	38053323	38053794	472	38053395	19	6.31013	3.27015	3.33902	HEK293Ts4peaks_peak_1220	AK6P2	25.4405		
chr12	38142981	38143377	397	38143266	21	6.70545	3.25665	3.71012	HEK293Ts4peaks_peak_1221	ENSG00000274293	6.871		
chr12	38905410	38906554	1145	38906073	216	263.357	35.6895	259.256	HEK293Ts4peaks_peak_1222	CPNE8	0.287	1.0	
chr12	41932069	41932488	420	41932188	24	10.6243	4.50071	7.44759	HEK293Ts4peaks_peak_1223	ENSG00000257239	0.3135	1.0	
chr12	43792534	43792992	459	43792767	35	23.9575	8.21984	20.5454	HEK293Ts4peaks_peak_1224	TWF1	5.088		
chr12	45142601	45142960	360	45142676	15	5.04643	3.07437	2.20206	HEK293Ts4peaks_peak_1225	ENSG00000287386	21.4055		
chr12	46275633	46275920	288	46275759	18	7.84713	4.06089	4.78112	HEK293Ts4peaks_peak_1226	SLC38A1	5.7595		
chr12	48542861	48543265	405	48543076	30	18.9395	7.0782	15.5902	HEK293Ts4peaks_peak_1227	ENSG00000197376	14.812		
chr12	48956994	48957967	974	48957495	370	564.228	71.287	559.848	HEK293Ts4peaks_peak_1228	ARF3	0.0035	1.0	
chr12	49214231	49214549	319	49214391	24	9.59513	4.08769	6.45299	HEK293Ts4peaks_peak_1229	TUBA1C	5.844		
chr12	49275359	49275698	340	49275512	22	9.98467	4.49506	6.83062	HEK293Ts4peaks_peak_1230	ENSG00000258232	2.2225		
chr12	49367117	49367780	664	49367491	81	73.3374	15.7562	69.5978	HEK293Ts4peaks_peak_1231	SPATS2	0.0135	1.0	
chr12	49567643	49567991	349	49567817	25	10.305	4.2512	7.13725	HEK293Ts4peaks_peak_1232	MCRS1	0.015	1.0	
chr12	49866747	49867561	815	49867221	234	302.81	41.9102	298.666	HEK293Ts4peaks_peak_1233	RPL35AP28	3.981		
chr12	50055703	50056026	324	50055869	29	14.2431	5.26795	10.976	HEK293Ts4peaks_peak_1234	ASIC1	1.6835		
chr12	51272765	51273163	399	51272953	29	16.2067	6.07097	12.9005	HEK293Ts4peaks_peak_1235	SMAGP	2.549		
chr12	51815335	51815670	336	51815441	35	18.2068	5.88627	14.8684	HEK293Ts4peaks_peak_1236	ENSG00000260473	0.4595	1.0	
chr12	52266462	52268187	1726	52267365	468	720.562	76.6851	716.068	HEK293Ts4peaks_peak_1237	KRT88P	3.3765		
chr12	52361874	52362457	584	52362218	65	47.8672	10.7007	44.2622	HEK293Ts4peaks_peak_1238	KRT85	2.4565		
chr12	52675273	52675707	435	52675414	23	7.9382	3.55271	4.86686	HEK293Ts4peaks_peak_1239	KRT1	2.027		
chr12	52811621	52812207	587	52811910	77	61.0993	12.4692	57.4162	HEK293Ts4peaks_peak_1240	KRT4	0.987	1.0	
chr12	52865376	52865873	498	52865628	79	54.0922	9.95719	50.4482	HEK293Ts4peaks_peak_1241	KRT78	16.5325		
chr12	52969369	52969715	347	52969576	21	9.33479	4.34424	6.20095	HEK293Ts4peaks_peak_1242	KRT18	17.8		
chr12	52983544	52983924	381	52983704	28	13.9438	5.29542	10.6818	HEK293Ts4peaks_peak_1243	EIF4B	22.548		
chr12	53122124	53123715	1592	53123016	553	890.55	90.5832	885.948	HEK293Ts4peaks_peak_1244	VTI1BP3	8.4305		
chr12	53124449	53124725	277	53124676	15	4.83313	2.97426	2.03217	HEK293Ts4peaks_peak_1245	VTI1BP3	6.763		
chr12	53180521	53180794	274	53180704	19	6.83407	3.49049	3.8321	HEK293Ts4peaks_peak_1246	CSAD	0.0115	1.0	
chr12	53181078	53181364	287	53181202	26	6.05793	2.71279	3.11559	HEK293Ts4peaks_peak_1247	CSAD	0.296	1.0	
chr12	53197212	53199194	1983	53198048	338	403.971	36.3993	399.728	HEK293Ts4peaks_peak_1248	ITGB7	0.494	1.0	
chr12	53213437	53213914	478	53213713	48	34.7573	9.7094	31.2462	HEK293Ts4peaks_peak_1249	RARG	1.1815		
chr12	53249978	53252174	2197	53250781	937	1800.93	180.844	1795.88	HEK293Ts4peaks_peak_1250	MFSD5	0.175	1.0	
chr12	53364662	53365054	393	53364875	26	11.4369	4.57237	8.23589	HEK293Ts4peaks_peak_1251	SP1	15.318		
chr12	53371253	53371718	466	53371508	85	65.2859	12.0595	61.5825	HEK293Ts4peaks_peak_1252	SP1	8.6905		
chr12	53409727	53410122	396	53409916	38	25.1568	8.06294	21.7323	HEK293Ts4peaks_peak_1253	AMHR2	13.9305		
chr12	54017985	54018395	411	54018174	24	9.59513	4.08769	6.45299	HEK293Ts4peaks_peak_1254	ENSG00000273046	1.08		
chr12	54144393	54144871	479	54144648	42	17.9754	4.95741	14.6397	HEK293Ts4peaks_peak_1255	LINC02381	2.041		
chr12	54223804	54224253	450	54224040	20	9.72046	4.66294	6.57525	HEK293Ts4peaks_peak_1256	MIR3198-2	7.4475		
chr12	54369126	54369462	337	54369163	16	5.47513	3.18086	2.59108	HEK293Ts4peaks_peak_1257	GPR84	4.807		
chr12	54429065	54431375	2311	54430425	515	865.879	102.246	861.291	HEK293Ts4peaks_peak_1258	LINC01154	1.917		
chr12	55829280	55829567	288	55829383	24	9.16114	3.91971	6.03764	HEK293Ts4peaks_peak_1259	DNAJC14	0.1635	1.0	
chr12	55856776	55857389	614	55857146	56	47.9038	13.0148	44.2976	HEK293Ts4peaks_peak_1260	MMP19	14.1165		
chr12	55928887	55929180	294	55929085	20	6.92945	3.43366	3.92002	HEK293Ts4peaks_peak_1261	ENSG00000273973	0.1365	1.0	
chr12	56094779	56095498	720	56095113	120	130.984	24.6611	127.078	HEK293Ts4peaks_peak_1262	ERBB3	0.6165	1.0	
chr12	56120272	56120953	682	56120622	108	101.088	17.8223	97.2533	HEK293Ts4peaks_peak_1263	ENSG00000258345	0.6735	1.0	
chr12	56173997	56174437	441	56174197	48	29.7087	7.83324	26.2399	HEK293Ts4peaks_peak_1264	SMARCC2	0.496	1.0	
chr12	56299887	56300160	274	56300099	18	6.55306	3.46941	3.56678	HEK293Ts4peaks_peak_1265	CS	0.0005	1.0	
chr12	56302614	56303117	504	56302798	39	27.3775	8.77934	23.9306	HEK293Ts4peaks_peak_1266	CNPY2-AS1	2.1535		
chr12	56360234	56360593	360	56360235	14	4.07588	2.70043	1.41167	HEK293Ts4peaks_peak_1267	STAT2	0.2105	1.0	
chr12	56438607	56439476	870	56439094	138	159.463	28.7372	155.504	HEK293Ts4peaks_peak_1268	TIMELESS	10.3615		
chr12	56634811	56635237	427	56635205	16	5.80506	3.33385	2.88146	HEK293Ts4peaks_peak_1269	BAZ2A	1.294		
chr12	56668415	56668699	285	56668458	20	8.66178	4.17567	5.55658	HEK293Ts4peaks_peak_1270	RN7SL809P	2.189		
chr12	56879061	56879370	310	56879198	14	5.54986	3.42494	2.64481	HEK293Ts4peaks_peak_1271	ENSG00000258679	7.5055		
chr12	57101475	57101896	422	57101648	19	7.44273	3.7545	4.4009	HEK293Ts4peaks_peak_1272	STAT6	0.7615	1.0	
chr12	57637108	57637673	566	57637447	48	38.3068	11.1881	34.7671	HEK293Ts4peaks_peak_1273	B4GALNT1	4.1515		
chr12	59751390	59751889	500	59751528	18	8.42474	4.33825	5.32847	HEK293Ts4peaks_peak_1274	SLC16A7	17.4195		
chr12	63843973	63844475	503	63844087	22	4.2083	2.31089	1.51924	HEK293Ts4peaks_peak_1275	SRGAP1	0.463	1.0	
chr12	64853308	64853609	302	64853442	14	5.54986	3.42494	2.64481	HEK293Ts4peaks_peak_1276	RPL7P39	15.2405		
chr12	65824489	65825543	1055	65824988	181	181.082	22.2429	177.088	HEK293Ts4peaks_peak_1277	HMGA2	0.107	1.0	
chr12	66137388	66137704	317	66137592	26	15.1696	6.16488	11.8815	HEK293Ts4peaks_peak_1278	TMBIM4	1.391		
chr12	68807907	68808180	274	68808155	17	6.83665	3.70832	3.83383	HEK293Ts4peaks_peak_1279	MDM2	0.1335	1.0	
chr12	68821836	68822162	327	68821975	34	21.1923	7.23598	17.8127	HEK293Ts4peaks_peak_1280	MDM2	2.204		
chr12	68831518	68833183	1666	68832808	1325	2793.88	274.14	2788.47	HEK293Ts4peaks_peak_1281	ENSG00000256325	4.2325		
chr12	69258591	69259030	440	69258847	34	22.9288	7.99152	19.528	HEK293Ts4peaks_peak_1282	CPSF6	7.6355		
chr12	69541561	69541912	352	69541774	19	8.2861	4.13484	5.20021	HEK293Ts4peaks_peak_1283	FRS2	16.0525		
chr12	70202457	70202777	321	70202571	25	7.50346	3.23609	4.45888	HEK293Ts4peaks_peak_1284	LINC02821	22.279		
chr12	71282053	71282522	470	71282269	37	26.0499	8.6765	22.6161	HEK293Ts4peaks_peak_1285	TSPAN8	33.4685		
chr12	76763914	76764841	928	76764572	66	38.5467	7.72434	35.0054	HEK293Ts4peaks_peak_1286	ZDHHC17	0.0795	1.0	
chr12	79689858	79690406	549	79689986	16	4.57925	2.77963	1.81009	HEK293Ts4peaks_peak_1287	PPP1R12A-AS2	0.012	1.0	
chr12	79882869	79883178	310	79883040	30	17.4226	6.40901	14.096	HEK293Ts4peaks_peak_1288	RNA5SP363	4.6045		
chr12	79935014	79935329	316	79935292	21	5.96071	2.97502	3.02405	HEK293Ts4peaks_peak_1289	PPP1R12A	0.0415	1.0	
chr12	80798301	80799327	1027	80798891	195	228.967	32.0475	224.906	HEK293Ts4peaks_peak_1290	MIR617	33.815		
chr12	86787621	86788032	412	86787829	34	22.9288	7.99152	19.528	HEK293Ts4peaks_peak_1291	ENSG00000289369	48.6625		
chr12	87779357	87779783	427	87779550	17	7.67033	4.10992	4.61112	HEK293Ts4peaks_peak_1292	MKRN9P	3.886		
chr12	88867634	88868830	1197	88868304	534	947.604	122.156	942.968	HEK293Ts4peaks_peak_1293	ENSG00000289174	20.841		
chr12	89428216	89429148	933	89428710	221	298.064	45.8968	293.923	HEK293Ts4peaks_peak_1294	POC1B	0.778	1.0	
chr12	89525489	89526087	599	89525974	20	9.99798	4.79491	6.83974	HEK293Ts4peaks_peak_1295	POC1B	0.173	1.0	
chr12	89707746	89708126	381	89708043	21	5.31147	2.73823	2.44287	HEK293Ts4peaks_peak_1296	ATP2B1	0.9	1.0	
chr12	90798613	90798902	290	90798765	20	9.99798	4.79491	6.83974	HEK293Ts4peaks_peak_1297	ENSG00000288102	9.9905		
chr12	93361349	93362049	701	93361683	197	222.289	29.3098	218.237	HEK293Ts4peaks_peak_1298	ENSG00000257252	16.009		
chr12	93377996	93378381	386	93378121	21	4.23652	2.36219	1.54434	HEK293Ts4peaks_peak_1299	NUDT4	0.2635	1.0	
chr12	94460037	94460379	343	94460071	18	4.99891	2.81256	2.15927	HEK293Ts4peaks_peak_1300	CEP83-DT	0.205	1.0	
chr12	94586179	94586648	470	94586379	51	37.8809	10.2328	34.3454	HEK293Ts4peaks_peak_1301	LSM3P2	4.4075		
chr12	95235459	95236249	791	95235654	21	6.89582	3.33043	3.88909	HEK293Ts4peaks_peak_1302	VEZT	4.442		
chr12	95460964	95461382	419	95461147	18	8.21238	4.23532	5.13041	HEK293Ts4peaks_peak_1303	ENSG00000241556	6.688		
chr12	95840581	95841039	459	95840931	32	7.90053	2.93807	4.8317	HEK293Ts4peaks_peak_1304	SNRPF-DT	17.883		
chr12	96669072	96670625	1554	96669573	374	607.225	85.6234	602.812	HEK293Ts4peaks_peak_1305	CFAP54	21.8735		
chr12	98567293	98567602	310	98567472	20	9.99798	4.79491	6.83974	HEK293Ts4peaks_peak_1306	TMPO	22.8085		
chr12	98640190	98640575	386	98640374	18	8.42474	4.33825	5.32847	HEK293Ts4peaks_peak_1307	IKBIP	4.4055		
chr12	100143085	100143582	498	100143284	56	29.4331	6.57145	25.9667	HEK293Ts4peaks_peak_1308	UHRF1BP1L-DT	0.2755	1.0	
chr12	104230692	104231044	353	104230792	27	16.09	6.39321	12.7851	HEK293Ts4peaks_peak_1309	TXNRD1	6.052		
chr12	104289631	104290040	410	104289656	14	5.54986	3.42494	2.64481	HEK293Ts4peaks_peak_1310	TXNRD1	0.9405	1.0	
chr12	104290325	104290714	390	104290556	57	49.1388	13.2431	45.5245	HEK293Ts4peaks_peak_1311	TXNRD1	1.6245		
chr12	105090465	105090887	423	105090665	37	24.1486	7.8562	20.7351	HEK293Ts4peaks_peak_1312	ALDH1L2	6.218		
chr12	105331087	105331515	429	105331273	23	12.1808	5.32907	8.96028	HEK293Ts4peaks_peak_1313	C12orf75	0.433	1.0	
chr12	105865842	105866404	563	105866129	73	66.5146	15.5255	62.8057	HEK293Ts4peaks_peak_1314	ENSG00000289387	103.973		
chr12	106138766	106139844	1079	106139098	36	18.6944	5.91489	15.3492	HEK293Ts4peaks_peak_1315	NUAK1	0.351	1.0	
chr12	106247803	106248205	403	106247993	21	7.5684	3.59717	4.51942	HEK293Ts4peaks_peak_1316	CKAP4	0.016	1.0	
chr12	106955815	106956149	335	106956043	20	6.74123	3.3571	3.74424	HEK293Ts4peaks_peak_1317	TMEM263	0.075	1.0	
chr12	107319978	107320326	349	107320196	18	7.53478	3.91433	4.48891	HEK293Ts4peaks_peak_1318	ABTB3	0.254	1.0	
chr12	107761000	107761281	282	107761095	14	5.54986	3.42494	2.64481	HEK293Ts4peaks_peak_1319	PRDM4	0.0035	1.0	
chr12	108129346	108129760	415	108129473	20	5.41688	2.83979	2.53665	HEK293Ts4peaks_peak_1320	WSCD2	0.037	1.0	
chr12	108731820	108732636	817	108732204	207	259.923	37.9809	255.826	HEK293Ts4peaks_peak_1321	CORO1C	0.702	1.0	
chr12	109090355	109090814	460	109090620	31	19.3452	7.05058	15.9899	HEK293Ts4peaks_peak_1322	ALKBH2	2.1675		
chr12	109137899	109138212	314	109137985	30	12.7667	4.58891	9.53019	HEK293Ts4peaks_peak_1323	ACACB	1.3415		
chr12	109463905	109464350	446	109464111	42	27.6045	8.20712	24.156	HEK293Ts4peaks_peak_1324	KCTD10	0.7675	1.0	
chr12	109589812	109590747	936	109590329	48	30.3558	8.05892	26.8824	HEK293Ts4peaks_peak_1325	MVK	1.8355		
chr12	109634925	109635523	599	109635005	37	10.6531	3.38324	7.47565	HEK293Ts4peaks_peak_1326	RN7SKP250	27.959		
chr12	110158670	110160706	2037	110159842	849	1674.65	194.08	1669.65	HEK293Ts4peaks_peak_1327	IFT81	12.207		
chr12	110254113	110254545	433	110254337	26	12.3308	4.93022	9.10577	HEK293Ts4peaks_peak_1328	ENSG00000289311	26.186		
chr12	110454246	110454581	336	110454444	25	14.265	5.93655	10.9949	HEK293Ts4peaks_peak_1329	GPN3	1.5165		
chr12	110457121	110459660	2540	110458509	1210	2186.76	150.727	2181.56	HEK293Ts4peaks_peak_1330	GPN3	1.4715		
chr12	110801573	110802274	702	110802100	46	35.9918	10.7315	32.4696	HEK293Ts4peaks_peak_1331	ENSG00000257268	29.8555		
chr12	110866934	110867533	600	110867018	23	4.64596	2.41137	1.8679	HEK293Ts4peaks_peak_1332	CCDC63	20.2065		
chr12	110887705	110888116	412	110887907	28	14.8486	5.66769	11.5684	HEK293Ts4peaks_peak_1333	MYL2	26.3795		
chr12	110981712	110982026	315	110981860	20	8.99523	4.32637	5.87782	HEK293Ts4peaks_peak_1334	LINC01404	24.049		
chr12	111200523	111202301	1779	111201319	427	640.892	69.9813	636.454	HEK293Ts4peaks_peak_1335	CUX2	12.889		
chr12	111463366	111463657	292	111463557	20	7.88524	3.83461	4.81695	HEK293Ts4peaks_peak_1336	ATXN2	5.1105		
chr12	111685812	111686088	277	111685925	20	9.99798	4.79491	6.83974	HEK293Ts4peaks_peak_1337	BRAP	0.006	1.0	
chr12	112894888	112895413	526	112895180	64	54.48	13.3911	50.8335	HEK293Ts4peaks_peak_1338	RPH3A	0.2625	1.0	
